,seeds,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
7891,calm,23HzB2ouCzBKsFr6INUoqO,0.587,0.487,2,-9.099,1,0.0716,0.933,0.282,0.402,0.365,128.131
7892,calm,1KKvumpYrpAW2ugEeKW3LQ,0.695,0.278,0,-9.486,1,0.0274,0.577,0,0.0997,0.501,81.992
7893,calm,7joPLJXQNXtIlFToCp40qv,0.417,0.403,7,-9.394,1,0.0286,0.804,0.000921,0.127,0.106,145.668
7894,calm,5pZGLKXhnEb0Jx3F7bkhO4,0.575,0.0911,5,-9.75,1,0.0488,0.949,0,0.1,0.303,127.223
7895,calm,7BZSIG9TyowrVzSdZJpmeI,0.538,0.48,2,-8.075,1,0.0335,0.221,0,0.113,0.253,123.808
7896,calm,6RPuORHGAq1Z4TKW84nlfh,0.462,0.53,2,-7.732,1,0.029,0.0872,0.207,0.105,0.329,169.908
7897,calm,5qGqSVrQC55BPAKhJj5Ftv,0.591,0.299,6,-14.459,1,0.0287,0.847,0.0455,0.106,0.149,113.019
7898,calm,6eVFaVbulRS1FqAvaLL9yp,0.283,0.502,7,-7.296,1,0.0335,0.139,0.0613,0.0835,0.109,125.121
7899,calm,38QR0tEnPfQs3CUddogNwE,0.202,0.416,2,-8.925,0,0.0269,0.34,0.298,0.84,0.0434,79.694
7900,calm,3vHy5cXBvRlsPqSeFoBGyR,0.51,0.663,2,-11.255,0,0.0339,0.00844,0.593,0.301,0.12,127.006
7901,calm,6lKOHRFFbjNgx766UIraB4,0.792,0.404,5,-8.987,0,0.0395,0.154,0.0297,0.0745,0.592,125.991
7902,calm,7mjLvFRhiMfvEJiBOLDZkB,0.776,0.317,6,-8.221,1,0.0362,0.849,0,0.13,0.446,121.978
7903,calm,4w9Uex2WJC3QCawt8vLM05,0.712,0.0862,9,-17.696,1,0.0325,0.814,0.000259,0.191,0.315,90.666
7904,calm,6E4w5H0Vz26tbPZVvlq09K,0.456,0.71,0,-11.895,0,0.0566,0.092,0.0289,0.058,0.405,135.002
7905,calm,7nBwDo0SELiJXa7g64Dgoo,0.539,0.275,0,-11.801,1,0.0354,0.824,1.26E-06,0.0761,0.0902,97.669
7906,calm,3Opk9C8pMgBCmbqXelH0I5,0.691,0.541,8,-7.71,1,0.0307,0.405,0.83,0.122,0.6,107.33
7907,calm,1AFDCRAU57rG4VGsSzUp61,0.377,0.841,0,-5.088,1,0.0292,0.403,0.000472,0.342,0.669,125.242
7908,calm,0atRkLynwT9JbhSQkoPdLY,0.493,0.442,5,-11.781,1,0.0325,0.823,0.000579,0.12,0.442,96.919
7909,calm,5XhVU3UYE3JJa21a5IUcXU,0.519,0.684,2,-11.228,1,0.0277,0.377,0.728,0.0448,0.642,111.587
7910,calm,5oMNDwCx1Lr9BSL4WkkazM,0.412,0.243,9,-14.536,0,0.0354,0.494,0.969,0.105,0.0993,76.324
7911,calm,0csNGPROfLnRr93WAQnKWi,0.454,0.0853,4,-15.582,0,0.039,0.703,0,0.107,0.288,140.449
7912,calm,1930ANEQ53u44Q9AVYOivx,0.686,0.296,10,-10.733,1,0.0318,0.64,0.00736,0.087,0.288,122.863
7913,calm,1KLNG8SnkFGoOHDXeg18kC,0.601,0.579,9,-11.927,1,0.0963,0.107,1.26E-06,0.0606,0.965,125.77
7914,calm,799Rn8baGwbIwllfDw2yl6,0.249,0.0524,2,-23.226,1,0.0373,0.919,0.936,0.119,0.038,128.119
7915,calm,14LesbZuydq13ZEXI9d1ks,0.556,0.382,7,-12.347,1,0.026,0.801,0.00034,0.122,0.259,112.916
7916,calm,3bwuWB9wFuy3v5RSbh9pQJ,0.764,0.383,2,-11.404,0,0.0325,0.671,0.877,0.0849,0.384,93.001
7917,calm,4W7nrswLXJUBwQv6rsKDdy,0.461,0.297,3,-10.069,1,0.0318,0.921,5.13E-06,0.144,0.491,136.266
7918,calm,0TtD0HQPII0gm4VYnm5l8r,0.376,0.328,4,-15.37,0,0.0468,0.824,0.0141,0.14,0.23,153.881
7919,calm,0VWl8AMesqbmxV8GC02EGZ,0.451,0.478,1,-9.725,1,0.0294,0.0438,0.78,0.105,0.127,121.979
7920,calm,1nJfijtZKPNVFcFQNXqWln,0.557,0.795,11,-6.835,1,0.0327,0.0107,0,0.103,0.5,134.022
7921,calm,7bBjsmRA9j16qPejKNASUj,0.466,0.453,7,-10.334,1,0.0256,0.44,0.00362,0.166,0.266,154.69
7922,calm,4Ds8M9h3GYYCmHcCOBK9L7,0.592,0.136,5,-18.25,1,0.031,0.886,0.206,0.0908,0.14,107.083
7923,calm,496z4vc9Qj646wDdQm7PVL,0.372,0.024,5,-25.165,0,0.0443,0.948,1.27E-06,0.102,0.124,126.062
7924,calm,1Bs4Q3VjiPWvd9aTfO0568,0.318,0.0488,0,-22.409,1,0.0395,0.984,0.928,0.0916,0.031,118.924
7925,calm,3pCIWdnAOpyOP0H2FsqKqy,0.827,0.536,0,-9.738,1,0.0261,0.658,8.22E-05,0.0879,0.747,109.79
7926,calm,1OFqG8Tn7ehXHxDLpgew0L,0.46,0.323,1,-9.422,1,0.0363,0.831,0,0.106,0.36,79.63
7927,calm,79n508jq4njYbQAzzpSOga,0.613,0.54,1,-10.294,0,0.0313,0.00298,0.675,0.0733,0.33,79.86
7928,calm,33UNtwnqGKIjvRuqhcBojm,0.573,0.792,5,-6.003,1,0.0341,0.443,0.00166,0.134,0.448,120.497
7929,calm,7KxlQrTePk82UyI1Daz2Cr,0.324,0.166,9,-17.732,1,0.038,0.911,0.0974,0.101,0.169,134.915
7930,calm,78vgaKdwL4k9YVZ3i2FJj0,0.766,0.451,11,-12.97,1,0.102,0.0137,0.0026,0.0295,0.742,90.218
7931,calm,0SW6NTzQWOe0cpC9dLPU6m,0.807,0.41,7,-6.701,1,0.0443,0.449,0.732,0.0786,0.669,102.984
7932,calm,6doY8PkXq1G5Tu69czt0tG,0.327,0.26,1,-16.032,0,0.0362,0.684,0.909,0.187,0.301,78.385
7933,calm,7gsu7SFs4ViRCIYvdhYTxG,0.399,0.126,5,-12.033,1,0.0467,0.927,1.14E-05,0.11,0.199,110.59
7934,calm,242TKXb3WdPJxUgDPF4tmy,0.336,0.61,7,-8.73,1,0.0517,0.859,0,0.109,0.476,175.301
7935,calm,0Al3XJvsBmxPyiTurPV95k,0.542,0.438,9,-7.01,1,0.0278,0.578,9.12E-05,0.112,0.378,153.452
7936,calm,5qYp1Wf3gh0lGWdIS5lIrX,0.49,0.625,10,-7.248,1,0.185,0.497,0,0.118,0.748,78.762
7937,calm,4NQRGhUQViTwz1wBM5MYsS,0.706,0.548,2,-8.037,1,0.0356,0.565,0.67,0.301,0.466,97.622
7938,calm,70UHI16B6HW4vL4NmaIdAw,0.591,0.391,1,-10.879,1,0.0299,0.736,0.102,0.0788,0.161,138.02
7939,calm,2DxlGJqkymlyaz6R5wSC4y,0.255,0.576,4,-9.17,0,0.0347,0.0195,0.148,0.165,0.13,126.44
7940,calm,1kg7gc3aAasKuxaA3kH6wJ,0.255,0.259,7,-13.248,0,0.0352,0.977,0.136,0.313,0.0345,176.413
7941,calm,2K6aeCv8JmwlDQLLUWjKOz,0.523,0.339,2,-12.224,0,0.0286,0.806,0.0763,0.103,0.25,176.089
7942,calm,4vylvWmzkARLasyWiAMo2I,0.823,0.476,0,-11.519,1,0.213,0.021,4.19E-06,0.06,0.956,148.29
7943,calm,0bH3wGvxJP5iXxsLbQ49TK,0.629,0.513,0,-8.117,1,0.0238,0.199,1.90E-05,0.119,0.123,95.094
7944,calm,4beXOA5F2AahLAqDNTtpFk,0.47,0.963,2,-6.022,1,0.0353,0.361,0.785,0.354,0.927,135.023
7945,calm,6cMt7wrbELkUMo4CqCmxXV,0.622,0.445,7,-8.788,1,0.0307,0.291,0.887,0.11,0.958,113.159
7946,calm,7hTu0x6eQCTGflePUPKw2p,0.389,0.571,0,-8.106,1,0.0582,0.619,0.327,0.129,0.0848,108.705
7947,calm,21LDnCDpGk717CR3iLMhxc,0.839,0.816,3,-4.447,0,0.0365,0.0615,0.00105,0.16,0.915,120.022
7948,calm,3TRJYRAIoM4LMgqp1z7fEi,0.319,0.762,11,-4.969,1,0.0394,0.0524,0.000875,0.201,0.288,167.119
7949,calm,6zgGXfjVR9X7xJyYzmyhSg,0.397,0.624,10,-9.289,1,0.0359,0.0662,1.74E-05,0.979,0.203,137.647
7950,calm,14Ojya0rU3yiP1dmTPFnRQ,0.355,0.207,4,-13.479,1,0.0322,0.959,0.00252,0.0999,0.106,103.812
7951,calm,4MCRlGWTpHdKrjJ5XqQmjv,0.506,0.742,5,-6.695,1,0.0351,0.000145,9.68E-06,0.287,0.37,117.818
7952,calm,4CVoUXpLItPsn72A85rDQt,0.838,0.39,9,-9.363,1,0.0339,0.816,0.000431,0.164,0.615,102.964
7953,calm,7LOdj967wczUd8VorCPeJr,0.519,0.19,5,-16.613,1,0.0359,0.786,0.00111,0.107,0.463,135.104
7954,calm,7oYKCAecE2uP811O12CHaz,0.437,0.303,3,-14.42,1,0.0317,0.848,0.000225,0.126,0.524,84.504
7955,calm,4kX5PucsNjbgdhf1M8jkRF,0.435,0.559,3,-10.811,0,0.0474,0.988,0.883,0.645,0.387,120.05
7956,calm,77gCkMACr3T9ZQPSxiEu8U,0.555,0.557,5,-10.718,1,0.0291,0.334,1.03E-05,0.106,0.306,95.553
7957,calm,57SVn6Jw3cYMVN3UFpofmM,0.695,0.205,10,-11.041,0,0.031,0.609,0.000191,0.107,0.374,97.009
7958,calm,1MMZupeQB1yzRMVZCsFSDC,0.424,0.583,7,-8.029,1,0.0282,0.166,0.223,0.307,0.191,72.275
7959,calm,1xXo5I8h9jpsDmrVFvq3dN,0.442,0.0894,2,-19.994,1,0.0374,0.955,0.00503,0.165,0.232,88.211
7960,calm,10BAFKGXuHhiEMD2m4O7Im,0.416,0.335,3,-8.936,1,0.029,0.905,4.17E-06,0.113,0.267,79.364
7961,calm,5A3zeJvjlNWlD34R1pLSCb,0.406,0.9,9,-4.635,1,0.0334,0.0558,0.207,0.117,0.744,139.662
7962,calm,6ErkBYjSIPidk7ELKYKRtD,0.359,0.0161,5,-17.802,1,0.0468,0.948,0.000832,0.0814,0.089,161.091
7963,calm,20zcj4PSozTDNFGjML8fJS,0.518,0.292,11,-14.201,0,0.0265,0.811,0.622,0.119,0.194,133.757
7964,calm,0MS73IbO2WiweyVEw6oPbm,0.444,0.875,6,-3.824,0,0.0449,0.0258,0,0.172,0.59,153.849
7965,calm,19kA9MB5gD4xX27NFmBTVs,0.191,0.124,0,-23.745,0,0.038,0.641,0.915,0.0868,0.0322,140.083
7966,calm,63Z3H1GdMsmelvUqBzmgrm,0.544,0.631,1,-8.907,1,0.0396,0.0152,0.00178,0.415,0.361,76.637
7967,calm,1jIfpWmnYebpARDfA3YdeL,0.21,0.149,5,-18.839,1,0.0408,0.978,0.015,0.105,0.0556,130.672
7968,calm,1ublAlRn9JAmkfokRANtex,0.686,0.576,10,-11.512,1,0.0313,0.693,0.883,0.115,0.412,130.015
7969,calm,2HNTYjMyMQ5vFyLRCbsIXF,0.233,0.184,2,-19.454,1,0.0435,0.919,0.029,0.14,0.0894,87.614
7970,calm,4BSo1YN9imzniHBGBMfJYF,0.427,0.492,5,-10.671,1,0.03,0.102,0.831,0.269,0.234,83.95
7971,calm,0LuVpXVTaWY9Un2w9GkXjf,0.346,0.133,3,-11.954,1,0.0339,0.966,1.11E-05,0.109,0.332,174.291
7972,calm,2e1N4FhuB08W4iKmYpEftE,0.634,0.521,7,-5.748,1,0.0389,0.152,0,0.389,0.363,93.97
7973,calm,2jiWvcIXihi57P6oubj89o,0.525,0.141,9,-13.95,1,0.0323,0.925,0.855,0.115,0.0642,89.994
7974,calm,6oVt9GBbquoFDz3VTPFe1e,0.566,0.168,0,-16.778,1,0.0387,0.541,0.0349,0.107,0.282,115.643
7975,calm,5q2rpW8EZtwdct8c5zqVgw,0.211,0.126,4,-18.653,0,0.0342,0.941,0.971,0.0926,0.0483,101.969
7976,calm,0sNOPYInjylsM8ZnQozPjt,0.152,0.0941,8,-25.036,1,0.0408,0.624,0.91,0.0891,0.0321,105.687
7977,calm,0BUuWWCpEc8DPSpd35yGf5,0.547,0.419,8,-10.935,1,0.0327,0.148,0.00945,0.107,0.356,145.031
7978,calm,39p5Zs1J9EuNpaOhFxjRlb,0.578,0.524,7,-8.307,1,0.024,0.679,2.00E-05,0.0817,0.483,99.914
7979,calm,0joQFwiBKmi6X1Iq5R1ubH,0.745,0.617,6,-7.22,0,0.144,0.168,0,0.389,0.185,125.98
7980,calm,4MkqdnaIo5edDHfuo8wzdv,0.452,0.318,2,-14.095,1,0.0395,0.27,0.889,0.115,0.0384,95.296
7981,calm,0Vuw6rGX9cO4he9nEAO6Ft,0.471,0.724,4,-5.013,0,0.0397,0.276,0.000927,0.0867,0.72,199.9
7982,calm,01Dc5vTMc9axpkvDUy0yiD,0.45,0.137,1,-17.71,1,0.0372,0.931,0.0259,0.111,0.108,118.018
7983,calm,1vJKW2jBfdJhszM2pMuJz0,0.372,0.447,7,-8.722,1,0.0262,0.0159,0.0212,0.106,0.0492,61.639
7984,calm,79WI3T6ODaK364rlyDMqLv,0.819,0.333,1,-17.529,1,0.465,0.196,0,0.307,0.53,134.113
7985,calm,7cHgxAioHDAp7K3DfrGDVS,0.627,0.677,11,-6.122,1,0.0238,0.011,0.00264,0.208,0.581,103.839
7986,calm,5YvyXz784I2MxPWaww0VjS,0.483,0.857,10,-7.263,1,0.0325,0.014,0.526,0.537,0.916,152.15
7987,calm,4tidJqnUXrIEkJTuaJXOT9,0.147,0.322,0,-13.052,1,0.0334,0.913,0.839,0.533,0.101,78.54
7988,calm,2wkbDh68u34Ukt0qyVOjqQ,0.604,0.342,9,-12.94,0,0.0277,0.678,0.0932,0.112,0.0795,99.947
7989,calm,5xrrSZVaQTtktyBux70TKn,0.182,0.0233,11,-28.126,1,0.0405,0.658,0.558,0.0873,0.0398,99.875
